num_date_time,answer
1_20220825 00,1730.3880615234375
1_20220825 01,1660.260009765625
1_20220825 02,1552.231689453125
1_20220825 03,1494.2081298828125
1_20220825 04,1510.03564453125
1_20220825 05,1698.6363525390625
1_20220825 06,1964.9527587890625
1_20220825 07,2439.89794921875
1_20220825 08,2863.486083984375
1_20220825 09,3186.9501953125
1_20220825 10,3835.487548828125
1_20220825 11,4197.734375
1_20220825 12,4198.681640625
1_20220825 13,4160.3828125
1_20220825 14,4157.19287109375
1_20220825 15,3890.690673828125
1_20220825 16,3848.891357421875
1_20220825 17,3328.30615234375
1_20220825 18,2817.983642578125
1_20220825 19,2655.31103515625
1_20220825 20,2437.07861328125
1_20220825 21,1939.5703125
1_20220825 22,1511.383544921875
1_20220825 23,1771.592041015625
1_20220826 00,1775.6224365234375
1_20220826 01,1675.810302734375
1_20220826 02,1560.469970703125
1_20220826 03,1526.070556640625
1_20220826 04,1555.425537109375
1_20220826 05,1690.852783203125
1_20220826 06,1976.7093505859375
1_20220826 07,2383.184326171875
1_20220826 08,2800.836181640625
1_20220826 09,3225.968994140625
1_20220826 10,3927.516357421875
1_20220826 11,4213.19140625
1_20220826 12,4201.08203125
1_20220826 13,4148.59619140625
1_20220826 14,4126.517578125
1_20220826 15,4078.731689453125
1_20220826 16,3933.856201171875
1_20220826 17,3357.594482421875
1_20220826 18,2844.317626953125
1_20220826 19,2651.753173828125
1_20220826 20,2463.997314453125
1_20220826 21,2019.437255859375
1_20220826 22,1538.5303955078125
1_20220826 23,1816.6976318359375
1_20220827 00,1715.471923828125
1_20220827 01,1639.822998046875
1_20220827 02,1529.197021484375
1_20220827 03,1450.726806640625
1_20220827 04,1472.5426025390625
1_20220827 05,1608.3673095703125
1_20220827 06,1777.23046875
1_20220827 07,1994.9498291015625
1_20220827 08,2268.77001953125
1_20220827 09,2654.10498046875
1_20220827 10,3130.07177734375
1_20220827 11,3269.29345703125
1_20220827 12,3275.804931640625
1_20220827 13,3322.73095703125
1_20220827 14,3338.196044921875
1_20220827 15,3289.094482421875
1_20220827 16,3259.242919921875
1_20220827 17,2973.8359375
1_20220827 18,2656.209716796875
1_20220827 19,2428.7890625
1_20220827 20,2297.3564453125
1_20220827 21,1808.1295166015625
1_20220827 22,1399.606201171875
1_20220827 23,1566.1041259765625
1_20220828 00,1444.6552734375
1_20220828 01,1354.234130859375
1_20220828 02,1305.512451171875
1_20220828 03,1150.312255859375
1_20220828 04,1174.7822265625
1_20220828 05,1351.2276611328125
1_20220828 06,1472.1312255859375
1_20220828 07,1587.644775390625
1_20220828 08,1834.891357421875
1_20220828 09,2183.263427734375
1_20220828 10,2616.036865234375
1_20220828 11,2845.809326171875
1_20220828 12,2829.973876953125
1_20220828 13,2881.591796875
1_20220828 14,2896.5595703125
1_20220828 15,2904.985107421875
1_20220828 16,2928.640869140625
1_20220828 17,2791.802978515625
1_20220828 18,2618.65185546875
1_20220828 19,2350.33154296875
1_20220828 20,2205.955322265625
1_20220828 21,1794.9505615234375
1_20220828 22,1408.1524658203125
1_20220828 23,1635.6522216796875
1_20220829 00,1684.8421630859375
1_20220829 01,1637.671875
1_20220829 02,1549.718017578125
1_20220829 03,1488.7628173828125
1_20220829 04,1498.027587890625
1_20220829 05,1668.841796875
1_20220829 06,1940.7529296875
1_20220829 07,2247.14697265625
1_20220829 08,2665.76318359375
1_20220829 09,3062.455322265625
1_20220829 10,3709.346435546875
1_20220829 11,3891.3984375
1_20220829 12,3887.81982421875
1_20220829 13,3854.61865234375
1_20220829 14,3943.59716796875
1_20220829 15,3732.214111328125
1_20220829 16,3699.87109375
1_20220829 17,3181.55615234375
1_20220829 18,2607.617919921875
1_20220829 19,2417.940185546875
1_20220829 20,2223.25146484375
1_20220829 21,1830.4039306640625
1_20220829 22,1412.54345703125
1_20220829 23,1667.6461181640625
1_20220830 00,1630.0831298828125
1_20220830 01,1545.5145263671875
1_20220830 02,1474.6787109375
1_20220830 03,1438.445556640625
1_20220830 04,1462.112548828125
1_20220830 05,1624.047119140625
1_20220830 06,1829.099365234375
1_20220830 07,2215.09326171875
1_20220830 08,2673.441650390625
1_20220830 09,2993.379150390625
1_20220830 10,3596.42041015625
1_20220830 11,3916.309326171875
1_20220830 12,3877.194580078125
1_20220830 13,3919.83154296875
1_20220830 14,3837.713623046875
1_20220830 15,3750.127685546875
1_20220830 16,3641.207763671875
1_20220830 17,3156.659423828125
1_20220830 18,2660.829345703125
1_20220830 19,2473.83642578125
1_20220830 20,2269.82080078125
1_20220830 21,1849.5003662109375
1_20220830 22,1444.436767578125
1_20220830 23,1731.485107421875
1_20220831 00,1677.7591552734375
1_20220831 01,1612.537841796875
1_20220831 02,1495.655517578125
1_20220831 03,1448.2962646484375
