num_date_time,answer
1_20220825 00,1935.13623046875
1_20220825 01,1934.544921875
1_20220825 02,1713.61474609375
1_20220825 03,1603.3104248046875
1_20220825 04,1652.0504150390625
1_20220825 05,1833.067138671875
1_20220825 06,2192.765380859375
1_20220825 07,2266.4736328125
1_20220825 08,2861.521728515625
1_20220825 09,3083.709228515625
1_20220825 10,3390.668701171875
1_20220825 11,3505.369384765625
1_20220825 12,3512.2109375
1_20220825 13,3526.5791015625
1_20220825 14,3563.76318359375
1_20220825 15,3458.56396484375
1_20220825 16,3372.46240234375
1_20220825 17,2973.797607421875
1_20220825 18,2599.737060546875
1_20220825 19,2442.041748046875
1_20220825 20,2339.48583984375
1_20220825 21,2067.714111328125
1_20220825 22,1632.1385498046875
1_20220825 23,2069.461669921875
1_20220826 00,2118.591796875
1_20220826 01,2084.925048828125
1_20220826 02,1941.7791748046875
1_20220826 03,1755.16162109375
1_20220826 04,1733.8289794921875
1_20220826 05,1989.9781494140625
1_20220826 06,2118.0927734375
1_20220826 07,2226.69775390625
1_20220826 08,2774.489990234375
1_20220826 09,3013.878662109375
1_20220826 10,3434.562744140625
1_20220826 11,3612.25146484375
1_20220826 12,3631.9755859375
1_20220826 13,3743.330322265625
1_20220826 14,3728.885009765625
1_20220826 15,3691.75537109375
1_20220826 16,3581.74462890625
1_20220826 17,3089.7490234375
1_20220826 18,2746.865234375
1_20220826 19,2526.104736328125
1_20220826 20,2331.634521484375
1_20220826 21,1968.8289794921875
1_20220826 22,1587.0040283203125
1_20220826 23,2062.03466796875
1_20220827 00,2000.9073486328125
1_20220827 01,1942.4559326171875
1_20220827 02,1746.8304443359375
1_20220827 03,1665.446533203125
1_20220827 04,1742.00048828125
1_20220827 05,1885.54736328125
1_20220827 06,2107.3427734375
1_20220827 07,2061.026611328125
1_20220827 08,2320.199951171875
1_20220827 09,2682.4248046875
1_20220827 10,3075.260009765625
1_20220827 11,3098.410400390625
1_20220827 12,3129.3173828125
1_20220827 13,3146.306884765625
1_20220827 14,3141.14697265625
1_20220827 15,3164.24853515625
1_20220827 16,3112.132080078125
1_20220827 17,3006.249755859375
1_20220827 18,2575.566650390625
1_20220827 19,2349.522705078125
1_20220827 20,2261.358154296875
1_20220827 21,2035.7518310546875
1_20220827 22,1468.856201171875
1_20220827 23,1990.8956298828125
1_20220828 00,1770.3226318359375
1_20220828 01,1645.8472900390625
1_20220828 02,1477.2989501953125
1_20220828 03,1433.423828125
1_20220828 04,1438.1627197265625
1_20220828 05,1533.02880859375
1_20220828 06,1721.0855712890625
1_20220828 07,1744.48291015625
1_20220828 08,2003.0823974609375
1_20220828 09,2145.489501953125
1_20220828 10,2633.193603515625
1_20220828 11,2829.020751953125
1_20220828 12,2890.263916015625
1_20220828 13,2930.549072265625
1_20220828 14,2922.388671875
1_20220828 15,2883.570556640625
1_20220828 16,2876.417724609375
1_20220828 17,2839.508056640625
1_20220828 18,2629.9052734375
1_20220828 19,2260.799072265625
1_20220828 20,2215.3681640625
1_20220828 21,1981.655517578125
1_20220828 22,1523.70849609375
1_20220828 23,2082.328369140625
1_20220829 00,2121.671875
1_20220829 01,2077.64990234375
1_20220829 02,1982.4178466796875
1_20220829 03,1833.464111328125
1_20220829 04,1899.412841796875
1_20220829 05,2099.41455078125
1_20220829 06,2214.34375
1_20220829 07,2173.099853515625
1_20220829 08,2509.59765625
1_20220829 09,2922.45703125
1_20220829 10,3338.08349609375
1_20220829 11,3360.5244140625
1_20220829 12,3376.504638671875
1_20220829 13,3416.599365234375
1_20220829 14,3458.2021484375
1_20220829 15,3384.1318359375
1_20220829 16,3301.801025390625
1_20220829 17,2888.7744140625
1_20220829 18,2488.298583984375
1_20220829 19,2292.687744140625
1_20220829 20,2102.511474609375
1_20220829 21,1988.2215576171875
1_20220829 22,1484.3482666015625
1_20220829 23,2030.56982421875
1_20220830 00,2028.56298828125
1_20220830 01,1940.0762939453125
1_20220830 02,1783.490966796875
1_20220830 03,1604.30615234375
1_20220830 04,1661.2796630859375
1_20220830 05,1868.1336669921875
1_20220830 06,2048.633056640625
1_20220830 07,2102.484130859375
1_20220830 08,2624.943115234375
1_20220830 09,2870.767822265625
1_20220830 10,3303.3505859375
1_20220830 11,3527.1728515625
1_20220830 12,3505.78271484375
1_20220830 13,3498.30078125
1_20220830 14,3475.67578125
1_20220830 15,3411.9658203125
1_20220830 16,3268.781494140625
1_20220830 17,2922.069091796875
1_20220830 18,2551.015380859375
1_20220830 19,2308.2568359375
1_20220830 20,2152.85693359375
1_20220830 21,1901.6383056640625
1_20220830 22,1514.9200439453125
1_20220830 23,2002.5352783203125
1_20220831 00,1976.8077392578125
1_20220831 01,1936.5321044921875
1_20220831 02,1788.92822265625
1_20220831 03,1687.5975341796875
1_20220831 04,1662.8636474609375
1_20220831 05,1861.03857421875
1_20220831 06,2025.114501953125
1_20220831 07,2065.010009765625
1_20220831 08,2559.814697265625
1_20220831 09,2894.40185546875
1_20220831 10,3305.859130859375
1_20220831 11,3365.764892578125
1_20220831 12,3426.172119140625
1_20220831 13,3447.989990234375
1_20220831 14,3409.335693359375
1_20220831 15,3358.107177734375
1_20220831 16,3268.358642578125
1_20220831 17,2954.271728515625
1_20220831 18,2406.857666015625
1_20220831 19,2284.264404296875
1_20220831 20,2068.537841796875
1_20220831 21,1947.3253173828125
1_20220831 22,1435.8536376953125
1_20220831 23,1917.9200439453125
2_20220825 00,1288.8692626953125
2_20220825 01,1284.236572265625
2_20220825 02,1271.278564453125
2_20220825 03,1266.5206298828125
2_20220825 04,1267.1671142578125
2_20220825 05,1221.6953125
2_20220825 06,1215.1622314453125
2_20220825 07,1207.6380615234375
2_20220825 08,1633.770263671875
2_20220825 09,1937.00732421875
2_20220825 10,2199.570068359375
2_20220825 11,2125.023681640625
2_20220825 12,2188.19970703125
2_20220825 13,2183.09228515625
2_20220825 14,2283.440673828125
2_20220825 15,2136.6376953125
2_20220825 16,2244.634033203125
2_20220825 17,2203.132568359375
2_20220825 18,2191.286865234375
2_20220825 19,2057.47607421875
2_20220825 20,1927.1280517578125
2_20220825 21,1623.485595703125
2_20220825 22,1048.6422119140625
2_20220825 23,1345.4359130859375
2_20220826 00,1310.354248046875
2_20220826 01,1311.1492919921875
2_20220826 02,1314.2117919921875
2_20220826 03,1301.9671630859375
2_20220826 04,1275.2969970703125
2_20220826 05,1142.0557861328125
2_20220826 06,1127.934814453125
2_20220826 07,1132.649169921875
2_20220826 08,1633.8519287109375
2_20220826 09,1914.7554931640625
2_20220826 10,2127.723876953125
2_20220826 11,2110.140869140625
2_20220826 12,2043.3221435546875
2_20220826 13,2109.738525390625
2_20220826 14,2108.237548828125
2_20220826 15,2185.9609375
2_20220826 16,2104.062255859375
2_20220826 17,2010.9532470703125
2_20220826 18,2071.516845703125
2_20220826 19,1819.8887939453125
2_20220826 20,1788.99755859375
2_20220826 21,1526.6619873046875
2_20220826 22,1064.50244140625
2_20220826 23,1311.7666015625
2_20220827 00,1287.7523193359375
2_20220827 01,1279.819580078125
2_20220827 02,1319.8358154296875
2_20220827 03,1270.5855712890625
2_20220827 04,1272.7440185546875
2_20220827 05,1181.6151123046875
2_20220827 06,1205.22021484375
2_20220827 07,1059.099853515625
2_20220827 08,1446.4920654296875
2_20220827 09,1840.2452392578125
2_20220827 10,2022.25341796875
2_20220827 11,2052.126220703125
2_20220827 12,2195.97412109375
2_20220827 13,2183.642822265625
2_20220827 14,2278.220458984375
2_20220827 15,2282.43115234375
2_20220827 16,2272.949462890625
2_20220827 17,2174.36474609375
2_20220827 18,1991.580810546875
2_20220827 19,1745.8380126953125
2_20220827 20,1591.1463623046875
2_20220827 21,1311.844970703125
2_20220827 22,847.4216918945312
2_20220827 23,1311.1884765625
2_20220828 00,1277.6937255859375
2_20220828 01,1247.4918212890625
2_20220828 02,1259.03857421875
2_20220828 03,1147.2685546875
2_20220828 04,1114.5440673828125
2_20220828 05,1063.8399658203125
2_20220828 06,950.5255737304688
2_20220828 07,944.2835693359375
2_20220828 08,1316.094482421875
2_20220828 09,1607.262939453125
2_20220828 10,1817.7462158203125
2_20220828 11,1816.6495361328125
2_20220828 12,1872.38916015625
2_20220828 13,1950.95703125
2_20220828 14,2081.67578125
2_20220828 15,2073.712158203125
2_20220828 16,2093.898193359375
2_20220828 17,2048.903564453125
2_20220828 18,1962.917236328125
2_20220828 19,1599.0567626953125
2_20220828 20,1386.91357421875
2_20220828 21,1225.5548095703125
2_20220828 22,817.2539672851562
2_20220828 23,1282.3529052734375
2_20220829 00,1248.528564453125
2_20220829 01,1250.6416015625
2_20220829 02,1253.7469482421875
2_20220829 03,1245.0850830078125
2_20220829 04,1234.7803955078125
2_20220829 05,1140.48388671875
2_20220829 06,1170.8770751953125
2_20220829 07,1064.4697265625
2_20220829 08,1289.1163330078125
2_20220829 09,1295.5350341796875
2_20220829 10,1336.387451171875
2_20220829 11,1336.6065673828125
2_20220829 12,1289.03125
2_20220829 13,1347.1226806640625
2_20220829 14,1228.12548828125
2_20220829 15,1315.61572265625
2_20220829 16,1278.9305419921875
2_20220829 17,1173.04541015625
2_20220829 18,1098.09326171875
2_20220829 19,1166.2750244140625
2_20220829 20,1077.358642578125
2_20220829 21,985.387451171875
2_20220829 22,821.6141967773438
2_20220829 23,1085.538330078125
2_20220830 00,1141.5084228515625
2_20220830 01,1168.3958740234375
2_20220830 02,1183.05419921875
2_20220830 03,1162.5712890625
2_20220830 04,1128.37744140625
2_20220830 05,1072.9556884765625
2_20220830 06,976.5584106445312
2_20220830 07,1082.25927734375
2_20220830 08,1546.9337158203125
2_20220830 09,1738.1729736328125
2_20220830 10,2017.3968505859375
2_20220830 11,1986.6815185546875
2_20220830 12,1855.889404296875
2_20220830 13,2147.03271484375
2_20220830 14,2109.359375
2_20220830 15,2164.4873046875
2_20220830 16,2171.207763671875
2_20220830 17,2164.53271484375
2_20220830 18,2181.150146484375
2_20220830 19,2056.35498046875
2_20220830 20,1949.332763671875
2_20220830 21,1623.8604736328125
2_20220830 22,1026.911376953125
2_20220830 23,1255.6910400390625
2_20220831 00,1235.5234375
2_20220831 01,1242.4854736328125
2_20220831 02,1223.9710693359375
2_20220831 03,1203.5281982421875
2_20220831 04,1163.6407470703125
2_20220831 05,1108.0948486328125
2_20220831 06,1091.55810546875
2_20220831 07,1092.7042236328125
2_20220831 08,1520.3350830078125
2_20220831 09,1684.453857421875
2_20220831 10,1863.6453857421875
2_20220831 11,1836.0430908203125
2_20220831 12,1879.584716796875
2_20220831 13,2056.962890625
