num_date_time,answer
1_20220825 00,1871.7945556640625
1_20220825 01,1779.839111328125
1_20220825 02,1733.189208984375
1_20220825 03,1658.768310546875
1_20220825 04,1690.526123046875
1_20220825 05,1845.9605712890625
1_20220825 06,2072.43017578125
1_20220825 07,2517.49365234375
1_20220825 08,2991.68408203125
1_20220825 09,3330.45751953125
1_20220825 10,3942.21728515625
1_20220825 11,4210.82080078125
1_20220825 12,4248.5576171875
1_20220825 13,4186.38623046875
1_20220825 14,4167.25634765625
1_20220825 15,3938.880126953125
1_20220825 16,3881.17919921875
1_20220825 17,3507.44873046875
1_20220825 18,2898.361083984375
1_20220825 19,2706.31005859375
1_20220825 20,2490.705078125
1_20220825 21,1954.860595703125
1_20220825 22,1592.5947265625
1_20220825 23,1891.9296875
1_20220826 00,1821.4410400390625
1_20220826 01,1756.985595703125
1_20220826 02,1686.9508056640625
1_20220826 03,1650.1380615234375
1_20220826 04,1690.5205078125
1_20220826 05,1785.9290771484375
1_20220826 06,2087.20849609375
1_20220826 07,2502.315673828125
1_20220826 08,2925.3779296875
1_20220826 09,3331.31201171875
1_20220826 10,4044.098388671875
1_20220826 11,4241.5439453125
1_20220826 12,4261.14990234375
1_20220826 13,4166.39208984375
1_20220826 14,4183.52294921875
1_20220826 15,4157.748046875
1_20220826 16,4021.502685546875
1_20220826 17,3567.13818359375
1_20220826 18,2994.09716796875
1_20220826 19,2824.57080078125
1_20220826 20,2562.616943359375
1_20220826 21,2102.826171875
1_20220826 22,1626.2364501953125
1_20220826 23,1993.7398681640625
1_20220827 00,1870.5335693359375
1_20220827 01,1838.9447021484375
1_20220827 02,1738.1383056640625
1_20220827 03,1622.951904296875
1_20220827 04,1647.1146240234375
1_20220827 05,1783.291015625
1_20220827 06,1915.970947265625
1_20220827 07,2124.0693359375
1_20220827 08,2547.286376953125
1_20220827 09,2901.784423828125
1_20220827 10,3444.466796875
1_20220827 11,3535.44140625
1_20220827 12,3571.41259765625
1_20220827 13,3550.17724609375
1_20220827 14,3564.41552734375
1_20220827 15,3530.078857421875
1_20220827 16,3470.91357421875
1_20220827 17,3256.73486328125
1_20220827 18,2778.6875
1_20220827 19,2688.73681640625
1_20220827 20,2523.04833984375
1_20220827 21,1903.920654296875
1_20220827 22,1437.7852783203125
1_20220827 23,1689.2620849609375
1_20220828 00,1563.411376953125
1_20220828 01,1486.7781982421875
1_20220828 02,1399.453369140625
1_20220828 03,1268.304931640625
1_20220828 04,1278.39013671875
1_20220828 05,1484.372802734375
1_20220828 06,1619.740966796875
1_20220828 07,1648.321044921875
1_20220828 08,1879.3577880859375
1_20220828 09,2269.78955078125
1_20220828 10,2727.89501953125
1_20220828 11,3001.89306640625
1_20220828 12,2944.72119140625
1_20220828 13,2913.78759765625
1_20220828 14,2938.22216796875
1_20220828 15,2964.26806640625
1_20220828 16,2974.463623046875
1_20220828 17,2972.083984375
1_20220828 18,2748.390625
1_20220828 19,2536.407470703125
1_20220828 20,2394.405029296875
1_20220828 21,1895.837158203125
1_20220828 22,1473.708251953125
1_20220828 23,1829.583984375
1_20220829 00,1887.851806640625
1_20220829 01,1826.545654296875
1_20220829 02,1796.9381103515625
1_20220829 03,1750.1568603515625
1_20220829 04,1705.580810546875
1_20220829 05,1802.5875244140625
1_20220829 06,2083.78125
1_20220829 07,2403.97705078125
1_20220829 08,2820.598876953125
1_20220829 09,3238.44091796875
1_20220829 10,3894.662841796875
1_20220829 11,4009.602294921875
1_20220829 12,3940.141845703125
1_20220829 13,3990.468017578125
1_20220829 14,3978.947998046875
1_20220829 15,3890.926513671875
1_20220829 16,3722.999267578125
1_20220829 17,3331.944091796875
1_20220829 18,2701.38916015625
1_20220829 19,2585.774658203125
1_20220829 20,2303.770751953125
1_20220829 21,1890.0953369140625
