num_date_time,answer
1_20220825 00,2042.7515869140625
1_20220825 01,1908.9722900390625
1_20220825 02,1754.0806884765625
1_20220825 03,1679.2568359375
1_20220825 04,1692.7216796875
1_20220825 05,1887.4342041015625
1_20220825 06,2197.6279296875
1_20220825 07,2453.76806640625
1_20220825 08,2928.29248046875
1_20220825 09,3336.87353515625
1_20220825 10,3808.79248046875
1_20220825 11,4009.963623046875
1_20220825 12,4060.61865234375
1_20220825 13,4103.1689453125
1_20220825 14,4302.423828125
1_20220825 15,3907.615234375
1_20220825 16,3851.571044921875
1_20220825 17,3531.2890625
1_20220825 18,2875.3779296875
1_20220825 19,2599.26416015625
1_20220825 20,2468.020263671875
1_20220825 21,2116.80615234375
1_20220825 22,1649.716064453125
1_20220825 23,2171.9404296875
1_20220826 00,2166.34765625
1_20220826 01,2087.09033203125
1_20220826 02,1930.757080078125
1_20220826 03,1824.033203125
1_20220826 04,1825.623291015625
1_20220826 05,2058.13623046875
1_20220826 06,2193.150146484375
1_20220826 07,2458.06103515625
1_20220826 08,2994.485595703125
1_20220826 09,3337.34912109375
1_20220826 10,3839.02880859375
1_20220826 11,4063.76904296875
1_20220826 12,4067.766845703125
1_20220826 13,4268.1123046875
1_20220826 14,4255.91943359375
1_20220826 15,4238.53125
1_20220826 16,4098.1533203125
1_20220826 17,3641.216796875
1_20220826 18,2983.48828125
1_20220826 19,2761.72412109375
1_20220826 20,2507.8359375
1_20220826 21,2177.49267578125
1_20220826 22,1655.5035400390625
1_20220826 23,2126.6748046875
1_20220827 00,2083.99365234375
1_20220827 01,1961.259765625
1_20220827 02,1819.416748046875
1_20220827 03,1716.2705078125
1_20220827 04,1738.094482421875
1_20220827 05,1901.132568359375
1_20220827 06,2139.072021484375
1_20220827 07,2296.41796875
1_20220827 08,2493.71044921875
1_20220827 09,2934.18212890625
1_20220827 10,3554.223876953125
1_20220827 11,3625.540283203125
1_20220827 12,3601.362060546875
1_20220827 13,3650.0546875
1_20220827 14,3677.088623046875
1_20220827 15,3678.745361328125
1_20220827 16,3638.51513671875
1_20220827 17,3513.346435546875
1_20220827 18,2918.12841796875
1_20220827 19,2608.635986328125
1_20220827 20,2459.80322265625
1_20220827 21,2095.8994140625
1_20220827 22,1495.3780517578125
1_20220827 23,1998.618408203125
1_20220828 00,1826.2213134765625
1_20220828 01,1723.9573974609375
1_20220828 02,1579.3209228515625
1_20220828 03,1527.5589599609375
1_20220828 04,1525.754150390625
1_20220828 05,1565.6270751953125
1_20220828 06,1761.6959228515625
1_20220828 07,1822.8291015625
1_20220828 08,2142.462890625
1_20220828 09,2420.75927734375
